SECClasS_Code;SECClasS_Title;SECClasS_Title_EN;A1_A3;A1_A5;B1_B5 ;C1_C4;D;Conversion_factor;Unit_Cost;Level;DataBase
Ma_40_35_46;Vidro de chumbo - Lead glass;Lead glass;0;0;0;0;0;0;0;3;
Ma_40_35_46_19;Vidro de cristal - Crystal glass;Crystal glass;0;0;0;0;0;0;0;4;
Ma_40_35_46_30;Vidro de sílex - Flint glass;Flint glass;0;0;0;0;0;0;0;4;
Ma_40_35_48;Vidro de cal - Lime glass;Lime glass;0;0;0;0;0;0;0;3;
Ma_40_35_53;Vidro de mosaico - Mosaic glass;Mosaic glass;0;0;0;0;0;0;0;3;
Ma_40_35_57;Vidro não reflector - Non-reflective glass;Non-reflective glass;0;0;0;0;0;0;0;3;
Ma_40_35_59;Vidro opalino - Opal glass;Opal glass;0;0;0;0;0;0;0;3;
Ma_40_35_61;Vidro com padrão - Patterned glass;Patterned glass;0;0;0;0;0;0;0;3;
Ma_40_35_63;Vidro fotossensível - Photosensitive glass;Photosensitive glass;0;0;0;0;0;0;0;3;
Ma_40_35_65;Vidro de placa - Plate glass;Plate glass;0;0;0;0;0;0;0;3;
Ma_40_35_67;Vidro prismático - Prismatic glass;Prismatic glass;0;0;0;0;0;0;0;3;
Ma_40_35_71;Vidro reflector - Reflective glass;Reflective glass;0;0;0;0;0;0;0;3;
Ma_40_35_73;Vidro laminado - Rolled glass;Rolled glass;0;0;0;0;0;0;0;3;
Ma_40_35_75;Vidro de segurança - Safety glass;Safety glass;0;0;0;0;0;0;0;3;
Ma_40_35_75_03;Vidro anti-bandido - Anti-bandit glass;Anti-bandit glass;0;0;0;0;0;0;0;4;
Ma_40_35_75_10;Vidro resistente a balas - Bullet-resistant glass;Bullet-resistant glass;0;0;0;0;0;0;0;4;
Ma_40_35_75_97;Vidro com arame - Wired glass;Wired glass;0;0;0;0;0;0;0;4;
Ma_40_35_78;Vidro de chapa - Sheet glass;Sheet glass;0;0;0;0;0;0;0;3;
Ma_40_35_99;Vidro de protecção contra raios X - X-ray protective glass;X-ray protective glass;0;0;0;0;0;0;0;3;
Ma_40_52;Metal - Metal;Metal;3,01;0;0;0;0;0;0;2;ICE DB V3
Ma_40_52_03;Alumínio - Aluminium;Aluminium;6,67;0;0;0;0;2700;0;3;ICE DB V3
Ma_40_52_08;Latão - Brass;Brass;0;0;0;0;0;0;0;3;
Ma_40_52_09;Bronze - Bronze;Bronze;0;0;0;0;0;0;0;3;
Ma_40_52_18;Cobre - Copper;Copper;2,71;0;0;0;0;0;0;3;
Ma_40_52_34;Ouro - Gold;Gold;0;0;0;0;0;0;0;3;
Ma_40_52_42;Ferro - Iron;Iron;0;0;0;0;0;0;0;3;
Ma_40_52_42_11;Ferro fundido - Cast iron;Cast iron;0;0;0;0;0;0;0;4;
Ma_40_52_42_83;Ferro de grafite esferoidal - Spheroidal graphite iron;Spheroidal graphite iron;0;0;0;0;0;0;0;4;
Ma_40_52_42_98;Ferro forjado - Wrought iron;Wrought iron;0;0;0;0;0;0;0;4;
Ma_40_52_47;Chumbo - Lead;Lead;0;0;0;0;0;0;0;3;
Ma_40_52_79;Prata - Silver;Silver;0;0;0;0;0;0;0;3;
Ma_40_52_83;Aço - Steel;Steel;3,02;0;0;0;0;7700;0;3;ICE DB V3
Ma_40_52_83_08;Aço blister - Blister steel;Blister steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_12;Aço carbono - Carbon steel;Carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_16;Aço cromado - Chrome steel;Chrome steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_33;Aço galvanizado - Galvanized steel;Galvanized steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_36;Aço com alto teor de carbono - High-carbon steel;High-carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_37;Aço de baixa liga de alta resistência - High-strength low-alloy steel;High-strength low-alloy steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_47;Aço com baixo teor de carbono - Low-carbon steel;Low-carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_51;Aço manganês - Manganese steel;Manganese steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_52;Aço com médio teor de carbono - Medium-carbon steel;Medium-carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_56;Aço ao níquel - Nickel steel;Nickel steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_82;Aço inoxidável - Stainless steel;Stainless steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_83;Liga de aço-alumínio - Steel-aluminium alloy;Steel-aluminium alloy;0;0;0;0;0;0;0;4;
Ma_40_52_83_85;Aço estrutural - Structural steel;Structural steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_87;Aço revestido a terno - Terne-coated steel;Terne-coated steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_89;Aço titânio - Titanium steel;Titanium steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_96;Aço para intempéries - Weathering steel;Weathering steel;0;0;0;0;0;0;0;4;
Ma_40_52_88;Estanho - Tin;Tin;0;0;0;0;0;0;0;3;
Ma_40_52_89;Titânio - Titanium;Titanium;0;0;0;0;0;0;0;3;
Ma_40_52_99;Zinco - Zinc;Zinc;0;0;0;0;0;0;0;3;
Ma_40_84;Pedra - Stone;Stone;0;0;0;0;0;0;0;2;
Ma_40_84_41;Rochas ígneas - Igneous rocks;Igneous rocks;0;0;0;0;0;0;0;3;
Ma_40_84_41_06;Basalto - Basalt;Basalt;0;0;0;0;0;0;0;4;
Ma_40_84_41_24;Dolerite - Dolerite;Dolerite;0;0;0;0;0;0;0;4;
Ma_40_84_41_34;Granito - Granite;Granite;0;0;0;0;0;0;0;4;
Ma_40_84_41_91;Tufo - Tuff;Tuff;0;0;0;0;0;0;0;4;
Ma_40_84_51;Rochas metamórficas - Metamorphic rocks;Metamorphic rocks;0;0;0;0;0;0;0;3;
Ma_40_84_51_03;Antracite - Anthracite;Anthracite;0;0;0;0;0;0;0;4;
Ma_40_84_51_34;Gnaisse - Gneiss;Gneiss;0;0;0;0;0;0;0;4;
Ma_40_84_51_51;Mármore - Marble;Marble;0;0;0;0;0;0;0;4;
Ma_40_84_51_69;Quartzito - Quartzite;Quartzite;0;0;0;0;0;0;0;4;
Ma_40_84_51_80;Ardósia - Slate;Slate;0;0;0;0;0;0;0;4;
Ma_40_84_53;Lã mineral - Mineral wool;Mineral wool;1,29;0;0;0;0;100;0;3;ICE DB V3
Ma_40_84_79;Rochas sedimentares - Sedimentary rocks;Sedimentary rocks;0;0;0;0;0;0;0;3;
Ma_40_84_79_03;Alabastro - Alabaster;Alabaster;0;0;0;0;0;0;0;4;
Ma_40_84_79_15;Quartzo - Chert;Chert;0;0;0;0;0;0;0;4;
Ma_40_84_79_17;Carvão - Coal;Coal;0;0;0;0;0;0;0;4;
Ma_40_84_79_24;Dolomite - Dolomite;Dolomite;0;0;0;0;0;0;0;4;
Ma_40_84_79_30;Granito - Flint;Flint;0,96;0;0;0;0;0;0;4;ICE DB V3
Ma_40_84_79_34;Gritstone - Gritstone;Gritstone;0;0;0;0;0;0;0;4;
Ma_40_84_79_47;Linhite - Lignite;Lignite;0;0;0;0;0;0;0;4;
Ma_40_84_79_48;Calcário - Limestone;Limestone;0;0;0;0;0;0;0;4;
Ma_40_84_79_51;Marga - Marl;Marl;0;0;0;0;0;0;0;4;
Ma_40_84_79_76;Arenito - Sandstone;Sandstone;0;0;0;0;0;0;0;4;
Ma_40_84_79_80;Xisto - Shale;Shale;0;0;0;0;0;0;0;4;
Ma_40_84_79_89;Travertino - Travertine;Travertine;0;0;0;0;0;0;0;4;
Ma_40_84_79_91;Tufa - Tufa;Tufa;0;0;0;0;0;0;0;4;
Ma_40_86;Minerais sintéticos - Synthetic minerals;Synthetic minerals;0;0;0;0;0;0;0;2;
Ma_40_86_86;Carboneto de silício - Silicon carbide;Silicon carbide;0;0;0;0;0;0;0;3;
Ma_60;Materiais orgânicos - Organic materials;Organic materials;0;0;0;0;0;0;0;1;
Ma_60_02;Material de origem animal - Animal-based material;Animal-based material;0;0;0;0;0;0;0;2;
Ma_60_02_09;Osso - Bone;Bone;0;0;0;0;0;0;0;3;
Ma_60_02_47;Couro - Leather;Leather;0;0;0;0;0;0;0;3;
Ma_60_02_80;Casca - Shell;Shell;0;0;0;0;0;0;0;3;
Ma_60_02_98;Lã - Wool;Wool;0;0;0;0;0;0;0;3;
Ma_60_08;Material betuminoso - Bituminous material;Bituminous material;0;0;0;0;0;0;0;2;
Ma_60_08_52;Material betuminoso modificado - Modified bituminous material;Modified bituminous material;0;0;0;0;0;0;0;3;
Ma_60_08_52_15;Alcatrão de hulha - Coal tar;Coal tar;0;0;0;0;0;0;0;4;
Ma_60_08_56;Material betuminoso natural - Natural bituminous material;Natural bituminous material;0;0;0;0;0;0;0;3;
Ma_60_08_56_04;Asfalto - Asphalt;Asphalt;50,09;0;0;0;0;2400;0;4;ICE DB V3
Ma_60_08_56_05;Asfaltite - Asphaltite;Asphaltite;0;0;0;0;0;0;0;4;
Ma_60_08_56_08;Betume - Bitumen;Bitumen;0,19;0;0;0;0;1200;0;4;ICE DB V3
Ma_60_08_56_73;Asfalto de pedra - Rock asphalt;Rock asphalt;0;0;0;0;0;0;0;4;
Ma_60_15;Clorofluorocarbonetos - Chlorofluorocarbons;Chlorofluorocarbons;0;0;0;0;0;0;0;2;
Ma_60_15_36;Halon - Halon;Halon;0;0;0;0;0;0;0;3;
Ma_60_58;Petróleo - Oil;Oil;0;0;0;0;0;0;0;2;
Ma_60_58_19;Petróleo bruto - Crude oil;Crude oil;0;0;0;0;0;0;0;3;
Ma_60_58_64;Petróleo - Petroleum;Petroleum;0;0;0;0;0;0;0;3;
Ma_60_58_64_47;Gás de petróleo liquefeito - Liquefied petroleum gas;Liquefied petroleum gas;0;0;0;0;0;0;0;4;
Ma_60_58_64_64;Gasolina - Petrol;Petrol;0;0;0;0;0;0;0;4;
Ma_60_61;Papel - Paper;Paper;0;0;0;0;0;0;0;2;
Ma_60_64;Material de origem vegetal - Plant-based material;Plant-based material;0;0;0;0;0;0;0;2;
Ma_60_64_06;Bambu - Bamboo;Bamboo;0;0;0;0;0;0;0;3;
Ma_60_64_18;Cortiça - Cork;Cork;0;0;0;0;0;0;0;3;
Ma_60_64_35;Relva - Grass;Grass;0;0;0;0;0;0;0;3;
Ma_60_64_62;Turfa - Peat;Peat;0;0;0;0;0;0;0;3;
Ma_60_64_72;Caniço - Reed;Reed;0;0;0;0;0;0;0;3;
Ma_60_64_76;Serragem - Sawdust;Sawdust;0;0;0;0;0;0;0;3;
Ma_60_64_82;Palha - Straw;Straw;0;0;0;0;0;0;0;3;
Ma_60_65;Plástico - Plastics;Plastics;3,31;0;0;0;0;910;0;2;ICE DB V3
Ma_60_65_00;Acrilonitrilo-butadieno-estireno (ABS) - Acrylonitrile butadiene styrene (ABS);Acrylonitrile butadiene styrene (ABS);0;0;0;0;0;0;0;3;
Ma_60_65_01;Poliacrilonitrilo (PAN) - Polyacrylonitrile (PAN);Polyacrylonitrile (PAN);0;0;0;0;0;0;0;3;
Ma_60_65_03;Poliamida (PA) - Polyamide (PA);Polyamide (PA);0;0;0;0;0;0;0;3;
Ma_60_65_12;Policarbonato (PC) - Polycarbonate (PC);Polycarbonate (PC);0;0;0;0;0;0;0;3;
Ma_60_65_27;Poliéster - Polyester;Polyester;0;0;0;0;0;0;0;3;
Ma_60_65_27_28;Politereftalato de etileno (PET) - Polyethylene terephthalate (PET);Polyethylene terephthalate (PET);0;0;0;0;0;0;0;4;
Ma_60_65_28;Polietileno (PE) - Polyethylene (PE);Polyethylene (PE);0;0;0;0;0;0;0;3;
Ma_60_65_28_37;Polietileno de alta densidade (HDPE) - High-density polyethylene (HDPE);High-density polyethylene (HDPE);0;0;0;0;0;0;0;4;
Ma_60_65_28_48;Polietileno de baixa densidade (LDPE) - Low-density polyethylene (LDPE);Low-density polyethylene (LDPE);0;0;0;0;0;0;0;4;
Ma_60_65_28_51;Polietileno de média densidade (MDPE) - Medium-density polyethylene (MDPE);Medium-density polyethylene (MDPE);0;0;0;0;0;0;0;4;
Ma_60_65_43;Poliisocianurato (PIR) - Polyisocyanurate (PIR);Polyisocyanurate (PIR);0;0;0;0;0;0;0;3;
Ma_60_65_59;Polioxibenzilmetilenglicolanidrido - Polyoxybenzylmethylenglycolanhydride;Polyoxybenzylmethylenglycolanhydride;0;0;0;0;0;0;0;3;
Ma_60_65_67;Polipropileno (PP) - Polypropylene (PP);Polypropylene (PP);0;0;0;0;0;0;0;3;
Ma_60_65_85;Poliestireno (PS) - Polystyrene (PS);Polystyrene (PS);0;0;0;0;0;0;0;3;
Ma_60_65_85_27;Poliestireno expandido (EPS) - Expanded polystyrene (EPS);Expanded polystyrene (EPS);0;0;0;0;0;0;0;4;
Ma_60_65_85_28;Espuma de poliestireno extrudido (XPS) - Extruded polystyrene foam (XPS);Extruded polystyrene foam (XPS);0,6;0;0;0;0;0;0;4;
Ma_60_65_93;Poliuretano (PU) - Polyurethane (PU);Polyurethane (PU);0;0;0;0;0;0;0;3;
Ma_60_65_94;Acetato de polivinilo (PVA) - Polyvinyl acetate (PVA);Polyvinyl acetate (PVA);0;0;0;0;0;0;0;3;
Ma_60_65_95;Fluoreto de polivinilideno (PVDF) - Polyvinylidene fluoride (PVDF);Polyvinylidene fluoride (PVDF);0;0;0;0;0;0;0;3;
Ma_60_65_96;Policloreto de vinilo (PVC) - Polyvinyl chloride (PVC);Polyvinyl chloride (PVC);0;0;0;0;0;0;0;3;
Ma_60_65_96_15;Policloreto de vinilo clorado (CPVC) - Chlorinated polyvinyl chloride (CPVC);Chlorinated polyvinyl chloride (CPVC);0;0;0;0;0;0;0;4;
Ma_60_65_96_93;Policloreto de vinilo não plastificado (PVC-U) - Unplasticized polyvinyl chloride (PVC-U);Unplasticized polyvinyl chloride (PVC-U);0;0;0;0;0;0;0;4;
Ma_60_72;Resina - Resin;Resin;0;0;0;0;0;0;0;2;
Ma_60_72_56;Resina natural - Natural resin;Natural resin;0;0;0;0;0;0;0;3;
Ma_60_72_56_06;Resina de bálsamo - Balsam resin;Balsam resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_08;Resina de benjoim - Benzoin resin;Benzoin resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_17;Resina de copal - Copal resin;Copal resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_21;Resina Damar - Damar resin;Damar resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_46;Resina de laca - Lacquer resin;Lacquer resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_51;Resina de mástique - Mastic resin;Mastic resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_79;Resina de goma-laca - Shellac resin;Shellac resin;0;0;0;0;0;0;0;4;
Ma_60_72_56_91;Resina de terebintina - Turpentine resin;Turpentine resin;0;0;0;0;0;0;0;4;
Ma_60_72_86;Resina sintética - Synthetic resin;Synthetic resin;0;0;0;0;0;0;0;3;
Ma_60_72_86_00;Resina acetal - Acetal resin;Acetal resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_01;Resina acrílica - Acrylic resin;Acrylic resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_02;Resina de acrilonitrilo-butadieno-estireno - Acrylonitrile butadiene styrene resin;Acrylonitrile butadiene styrene resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_04;Resina alquídica - Alkyd resin;Alkyd resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_27;Resina epóxida - Epoxy resin;Epoxy resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_28;Resina de acetato de etileno vinilo - Ethylene vinyl acetate resin;Ethylene vinyl acetate resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_46;Resina de polímero de cristais líquidos - Liquid crystal polymer resin;Liquid crystal polymer resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_48;Resina plástica reforçada com fibras longas - Long fibre-reinforced plastics resin;Long fibre-reinforced plastics resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_52;Resina de melamina formaldeído - Melamine formaldehyde resin;Melamine formaldehyde resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_60;Resina de fenol formaldeído - Phenol formaldehyde resin;Phenol formaldehyde resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_61;Resina de poliamida - Polyamide resin;Polyamide resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_62;Resina de policarbonato - Polycarbonate resin;Polycarbonate resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_63;Resina de poliéster - Polyester resin;Polyester resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_64;Resina de polietileno - Polyethylene resin;Polyethylene resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_65;Resina de tereftalato de polietileno - Polyethylene terephthalate resin;Polyethylene terephthalate resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_66;Resina de sulfureto de polifenileno - Polyphenylene sulfide resin;Polyphenylene sulfide resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_67;Resina de polipropileno - Polypropylene resin;Polypropylene resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_68;Resina de poliestireno - Polystyrene resin;Polystyrene resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_69;Resina de poliuretano - Polyurethane resin;Polyurethane resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_70;Resina de cloreto de polivinilo - Polyvinyl chloride resin;Polyvinyl chloride resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_79;Resina de silicone - Silicone resin;Silicone resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_89;Resina de elastómero termoplástico - Thermoplastic elastomer resin;Thermoplastic elastomer resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_92;Resina de poliéster insaturado - Unsaturated polyester resin;Unsaturated polyester resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_93;Resina de ureia-formaldeído - Urea formaldehyde resin;Urea formaldehyde resin;0;0;0;0;0;0;0;4;
Ma_60_72_86_94;Resina de éster vinílico - Vinyl ester resin;Vinyl ester resin;0;0;0;0;0;0;0;4;
Ma_60_74;Borracha - Rubber;Rubber;0;0;0;0;0;0;0;2;
Ma_60_81;Sabão - Soap;Soap;0;0;0;0;0;0;0;2;
Ma_60_97;Madeira - Wood;Wood;-1,03;0;0;0;0;600;0;2;ICE DB V3
Ma_60_97_04;Freixo - Ash;Ash;0;0;0;0;0;0;0;3;
Ma_60_97_07;Faia - Beech;Beech;0;0;0;0;0;0;0;3;
Ma_60_97_08;Bétula - Birch;Birch;0;0;0;0;0;0;0;3;
Ma_60_97_08_80;Bétula prateada - Silver birch;Silver birch;0;0;0;0;0;0;0;4;
Ma_60_97_08_97;Bétula branca - White birch;White birch;0;0;0;0;0;0;0;4;
Ma_60_97_13;Cedro - Cedar;Cedar;0;0;0;0;0;0;0;3;
Ma_60_97_13_97;Cedro vermelho ocidental - Western red cedar;Western red cedar;0;0;0;0;0;0;0;4;
Ma_60_97_26;Ébano - Ebony;Ebony;0;0;0;0;0;0;0;3;
Ma_60_97_27;Ulmeiro - Elm;Elm;0;0;0;0;0;0;0;3;
Ma_60_97_27_25;Olmo holandês - Dutch elm;Dutch elm;0;0;0;0;0;0;0;4;
Ma_60_97_27_27;Olmo inglês - English elm;English elm;0;0;0;0;0;0;0;4;
Ma_60_97_27_98;Olmo de Wych - Wych elm;Wych elm;0;0;0;0;0;0;0;4;
Ma_60_97_30;Abeto - Fir;Fir;0;0;0;0;0;0;0;3;
Ma_60_97_30_24;Abeto de Douglas - Douglas fir;Douglas fir;0;0;0;0;0;0;0;4;
Ma_60_97_37;Cicuta - Hemlock;Hemlock;0;0;0;0;0;0;0;3;
Ma_60_97_37_97;Cicuta ocidental - Western hemlock;Western hemlock;0;0;0;0;0;0;0;4;
Ma_60_97_44;Jarrah - Jarrah;Jarrah;0;0;0;0;0;0;0;3;
Ma_60_97_46;Lariço - Larch;Larch;0;0;0;0;0;0;0;3;
Ma_60_97_46_28;Lariço europeu - European larch;European larch;0;0;0;0;0;0;0;4;
Ma_60_97_46_44;Lariço japonês - Japanese larch;Japanese larch;0;0;0;0;0;0;0;4;
Ma_60_97_50;Mogno - Mahogany;Mahogany;0;0;0;0;0;0;0;3;
Ma_60_97_51;Ácer - Maple;Maple;0;0;0;0;0;0;0;3;
Ma_60_97_58;Carvalho - Oak;Oak;0;0;0;0;0;0;0;3;
Ma_60_97_58_03;Carvalho vermelho americano - American red oak;American red oak;0;0;0;0;0;0;0;4;
Ma_60_97_58_04;Carvalho branco americano - American white oak;American white oak;0;0;0;0;0;0;0;4;
Ma_60_97_58_27;Carvalho inglês - English oak;English oak;0;0;0;0;0;0;0;4;
Ma_60_97_58_28;Carvalho europeu - European oak;European oak;0;0;0;0;0;0;0;4;
Ma_60_97_58_32;Carvalho francês - French oak;French oak;0;0;0;0;0;0;0;4;
Ma_60_97_63;Pinho - Pine;Pine;0;0;0;0;0;0;0;3;
Ma_60_97_63_12;Pinheiro das Caraíbas - Caribbean pitch pine;Caribbean pitch pine;0;0;0;0;0;0;0;4;
Ma_60_97_63_48;Pinho das Caraíbas - Lodgepole pine;Lodgepole pine;0;0;0;0;0;0;0;4;
Ma_60_97_63_50;Pinheiro marítimo - Maritime pine;Maritime pine;0;0;0;0;0;0;0;4;
Ma_60_97_63_70;Pinho radiata - Radiata pine;Radiata pine;0;0;0;0;0;0;0;4;
Ma_60_97_63_77;Pinheiro silvestre - Scots pine;Scots pine;0;0;0;0;0;0;0;4;
Ma_60_97_63_96;Pinheiro branco - White pine;White pine;0;0;0;0;0;0;0;4;
Ma_60_97_63_99;Pinheiro amarelo - Yellow pine;Yellow pine;0;0;0;0;0;0;0;4;
Ma_60_97_66;Choupo - Poplar;Poplar;0;0;0;0;0;0;0;3;
Ma_60_97_66_08;Choupo preto - Black poplar;Black poplar;0;0;0;0;0;0;0;4;
Ma_60_97_66_35;Choupo cinzento - Grey poplar;Grey poplar;0;0;0;0;0;0;0;4;
Ma_60_97_66_97;Choupo branco - White poplar;White poplar;0;0;0;0;0;0;0;4;
Ma_60_97_81;Abeto - Spruce;Spruce;0;0;0;0;0;0;0;3;
Ma_60_97_81_57;Abeto da Noruega - Norway spruce;Norway spruce;0;0;0;0;0;0;0;4;
Ma_60_97_81_80;Abeto de Sitka - Sitka spruce;Sitka spruce;0;0;0;0;0;0;0;4;
Ma_60_97_86;Plátano - Sycamore;Sycamore;0;0;0;0;0;0;0;3;
Ma_60_97_88;Teca - Teak;Teak;0;0;0;0;0;0;0;3;
Ma_60_97_96;Wallaba - Wallaba;Wallaba;0;0;0;0;0;0;0;3;
Ma_60_97_97;Nogueira - Walnut;Walnut;0;0;0;0;0;0;0;3;
Ma_60_97_99;Teixo - Yew;Yew;0;0;0;0;0;0;0;3;
Ma_80;Materiais por forma - Materials by form;Materials by form;0;0;0;0;0;0;0;1;
Ma_80_01;Aerogel - Aerogel;Aerogel;0;0;0;0;0;0;0;2;
Ma_80_02;Aerossol - Aerosol;Aerosol;0;0;0;0;0;0;0;2;
Ma_80_15;Colóide - Colloid;Colloid;0;0;0;0;0;0;0;2;
Ma_80_19;Cristal - Crystal;Crystal;0;0;0;0;0;0;0;2;
Ma_80_27;Emulsão - Emulsion;Emulsion;0;0;0;0;0;0;0;2;
Ma_80_27_51;Microemulsão - Microemulsion;Microemulsion;0;0;0;0;0;0;0;3;
Ma_80_29;Fibra - Fibre;Fibre;0;0;0;0;0;0;0;2;
Ma_80_30;Filamento - Filament;Filament;0;0;0;0;0;0;0;2;
Ma_80_30_52;Monofilamento - Monofilament;Monofilament;0;0;0;0;0;0;0;3;
Ma_80_31;Film - Film;Film;0;0;0;0;0;0;0;2;
Ma_80_32;Espuma - Foam;Foam;0;0;0;0;0;0;0;2;
Ma_80_33;Gás - Gas;Gas;0;0;0;0;0;0;0;2;
Ma_80_35;Granulado - Granule;Granule;0;0;0;0;0;0;0;2;
Ma_80_47;Líquido - Liquid;Liquid;0;0;0;0;0;0;0;2;
Ma_80_51;Membrana - Membrane;Membrane;0;0;0;0;0;0;0;2;
Ma_80_52;Malha - Mesh;Mesh;0;0;0;0;0;0;0;2;
Ma_80_56;Rede - Net;Net;0;0;0;0;0;0;0;2;
Ma_80_65;Pó - Powder;Powder;0;0;0;0;0;0;0;2;
Ma_80_77;Folha - Sheet;Sheet;0;0;0;0;0;0;0;2;
Ma_80_80;Sólido - Solid;Solid;0;0;0;0;0;0;0;2;
Ma_80_81;Solução - Solution;Solution;0;0;0;0;0;0;0;2;
Pr;Produtos;Produts;0;0;0;0;0;0;0;0;
Pr_20_96_71;Reforço estrutural e acessórios - Reinforcement and ancillaries;Reinforcement and ancillaries;3,02;0;0;0;0;7800;0;3;ICE DB V3
Pr_25_71_35;Placas e chapas de gesso - Gypsum boards and sheets;Gypsum boards and sheets;0,13;0;0;0;0;800;0;3;ICE DB V3
Pr_35_31_64;Rebocos e estuques -Plasters and renders;Plasters and renders;0,2;0;0;0;0;2000;0;3;ICE DB V3
Pr_20_93_52_15;Clay bricks - Tijolos de barro;Clay bricks;0,21;0;0;0;0;1500;0;4;ICE DB V3
Pr_35_93_96_19;Azuleijos Cerâmicos - Ceramic Tiles;Ceramic Tiles;0,78;0;0;0;0;0;0;4;ICE DB V3
Pr_20_31_35_35;Gesso - Gypsum;Gypsum;0,13;0;0;0;0;0;0;4;ICE DB V3
Pr_35_31_64_35;Reboco de Gesso - Gypsum plasters;Gypsum plasters;0,13;0;0;0;0;0;0;4;ICE DB V3
Pr_20_85_88_07;Ballast track beds;Ballast track beds;0,8;0;0;0;0;0;0;4;ICE DB V3
Pr_65_70;Cables, conductors and fittings products;Cables, conductors and fittings products;3,88;0;0;0;0;0;0;2;ICE DB V3
Pr_25_57_06;Batt and quilt products;Batt and quilt products;3,88;0;0;0;0;0;0;3;ICE DB V3
